Potential/V, Current/A
2.8,-4.53E-05
2.801,-3.29E-05
2.802,-2.58E-05
2.803,-2.08E-05
2.804,-1.71E-05
2.805,-1.41E-05
2.806,-1.16E-05
2.807,-9.69E-06
2.808,-8.06E-06
2.809,-6.69E-06
2.81,-5.55E-06
2.811,-4.54E-06
2.812,-3.72E-06
2.813,-2.97E-06
2.814,-2.36E-06
2.815,-1.81E-06
2.816,-1.31E-06
2.817,-8.89E-07
2.818,-5.09E-07
2.819,-1.96E-07
2.82,1.03E-07
2.821,3.53E-07
2.822,5.65E-07
2.823,7.78E-07
2.824,9.52E-07
2.825,1.11E-06
2.826,1.26E-06
2.827,1.38E-06
2.828,1.51E-06
2.829,1.60E-06
2.83,1.71E-06
2.831,1.81E-06
2.832,1.89E-06
2.833,1.95E-06
2.834,2.02E-06
2.835,2.07E-06
2.836,2.13E-06
2.837,2.18E-06
2.838,2.24E-06
2.839,2.27E-06
2.84,2.32E-06
2.841,2.35E-06
2.842,2.39E-06
2.843,2.41E-06
2.844,2.44E-06
2.845,2.46E-06
2.846,2.49E-06
2.847,2.50E-06
2.848,2.53E-06
2.849,2.55E-06
2.85,2.55E-06
2.851,2.56E-06
2.852,2.58E-06
2.853,2.59E-06
2.854,2.60E-06
2.855,2.61E-06
2.856,2.61E-06
2.857,2.63E-06
2.858,2.63E-06
2.859,2.63E-06
2.86,2.65E-06
2.861,2.65E-06
2.862,2.66E-06
2.863,2.68E-06
2.864,2.67E-06
2.865,2.66E-06
2.866,2.67E-06
2.867,2.66E-06
2.868,2.67E-06
2.869,2.66E-06
2.87,2.65E-06
2.871,2.66E-06
2.872,2.65E-06
2.873,2.64E-06
2.874,2.64E-06
2.875,2.64E-06
2.876,2.62E-06
2.877,2.64E-06
2.878,2.62E-06
2.879,2.63E-06
2.88,2.61E-06
2.881,2.61E-06
2.882,2.58E-06
2.883,2.60E-06
2.884,2.60E-06
2.885,2.58E-06
2.886,2.56E-06
2.887,2.56E-06
2.888,2.56E-06
2.889,2.54E-06
2.89,2.54E-06
2.891,2.53E-06
2.892,2.53E-06
2.893,2.50E-06
2.894,2.49E-06
2.895,2.49E-06
2.896,2.49E-06
2.897,2.48E-06
